rep,id,g,d,P0
3,153,37.0177,0.406425,68.2912
4,153,33.4093,0.404673,75.711
1,154,17.3081,0.394324,40.7279
2,154,27.6858,0.510601,21.6191
3,154,28.2588,0.524027,40.5228
4,154,19.6435,0.465631,37.9504
1,155,28.4208,0.350483,40.3994
2,155,38.6079,0.452753,27.2325
3,155,41.0587,0.487212,37.8361
4,155,44.2635,0.468058,31.3249
1,156,42.2969,0.390115,20.047
2,156,34.4821,0.396001,30.5186
3,156,37.645,0.365997,22.0678
4,156,36.8078,0.462127,33.544
1,157,34.3819,0.418958,83.7361
2,157,37.174,0.521664,94.443
3,157,36.6542,0.526607,98.8104
4,157,33.2365,0.397896,94.5069
1,158,15.9029,0.375315,36.4565
2,158,36.8036,0.748225,29.716
3,158,20.057,0.525424,25.7114
4,158,23.337,0.572666,47.8674
1,159,29.8316,0.316137,57.5136
2,159,37.8373,0.430969,55.3941
3,159,48.5488,0.512266,45.5295
4,159,29.6504,0.385299,62.555
1,160,40.2405,0.614718,40.219
2,160,32.7901,0.341254,32.082
3,160,30.0591,0.38541,30.5976
4,160,33.6423,0.44265,28.876
1,161,32.2537,0.34644,76.1657
2,161,37.5105,0.411798,66.452
3,161,41.5334,0.4971,80.4083
4,161,34.1415,0.317426,74.2318
1,162,45.3456,0.505501,52.6059
2,162,37.0741,0.423719,59.7365
3,162,35.0036,0.306203,64.217
4,162,40.8776,0.417783,52.7595
1,163,49.8656,0.57381,42.3376
2,163,42.7412,0.470921,36.2666
3,163,36.7071,0.436574,41.2881
4,163,32.4423,0.332288,44.0235
1,164,24.2985,0.244115,72.5475
2,164,38.6191,0.453635,73.9264
3,164,34.1462,0.370552,65.8298
4,164,36.8493,0.414208,67.5686
1,165,38.4373,0.405688,80.7477
2,165,36.8189,0.363214,69.5976
3,165,35.7824,0.451631,78.3668
4,165,49.7439,0.592329,81.5619
1,166,25.2949,0.296736,87.7187
2,166,41.7825,0.414775,65.611
3,166,29.2221,0.332097,76.7369
4,166,20.9673,0.258848,83.3742
1,167,33.8831,0.492136,45.5325
2,167,24.3877,0.40776,48.6448
3,167,36.3987,0.572462,39.763
4,167,25.7462,0.373746,44.8204
1,168,46.3191,0.550067,38.856
2,168,33.7314,0.393702,32.3701
3,168,29.0971,0.354329,48.5157
4,168,38.6946,0.45614,48.1401
1,169,31.8187,0.528928,38.5544
2,169,23.0644,0.410576,45.6532
3,169,26.5951,0.514783,32.2434
4,169,25.0297,0.403893,41.839
1,170,25.0415,0.225563,72.9953
2,170,50.5451,0.481588,56.5488
3,170,58.2282,0.54607,48.469
4,170,42.1301,0.409445,60.1522
1,171,27.6084,0.426888,28.1202
2,171,34.478,0.580659,29.706
3,171,25.7501,0.357125,19.0868
4,171,30.93,0.615998,29.3216
1,172,16.7535,0.394662,28.5098
2,172,31.8022,0.694911,32.8624
3,172,19.2702,0.503522,39.1659
4,172,16.0796,0.429004,35.1545
1,173,29.8081,0.421555,40.1867
2,173,46.3692,0.555992,30.2886
3,173,30.7646,0.342877,23.428
4,173,25.4971,0.301937,25.9203
1,174,27.6252,0.478579,54.6543
2,174,25.1035,0.419683,66.8151
3,174,31.3248,0.500979,54.8326
4,174,29.2536,0.577994,56.3914
1,175,38.2287,0.386458,47.9032
2,175,37.3977,0.381359,45.8465
3,175,48.8624,0.482327,36.4586
4,175,31.4949,0.292924,39.0769
1,176,40.8144,0.353674,135.123
2,176,45.9146,0.441207,147.853
3,176,37.1967,0.318331,134.076
4,176,40.6564,0.366146,126.913
1,177,42.0104,0.308831,66.7012
2,177,44.7195,0.317567,62.5237
3,177,54.902,0.406627,48.8565
4,177,63.6496,0.46935,41.7426
1,178,27.6894,0.418049,74.7819
2,178,34.5128,0.519271,65.6547
3,178,32.7321,0.532989,81.4262
4,178,27.5325,0.572491,74.3494
1,179,25.3442,0.602586,24.1478
2,179,27.1759,0.716518,21.9362
3,179,21.4356,0.448576,27.9755
4,179,23.9937,0.570885,35.9534
1,180,22.4077,0.429425,9.8014
2,180,23.6519,0.473799,20.0091
3,180,25.3382,0.476956,17.975
4,180,23.4978,0.429324,26.5079
1,181,32.7126,0.33658,46.0243
2,181,32.684,0.337864,50.0798
3,181,29.4982,0.247205,41.9905
4,181,35.9939,0.415467,37.3567
1,182,52.8154,0.356483,47.4149
2,182,52.1414,0.365111,42.5904
3,182,60.4093,0.43038,49.3741
4,182,61.3542,0.356525,33.2486
1,183,42.5576,0.398707,36.4048
2,183,38.8611,0.309961,40.945
3,183,30.6446,0.287625,50.0487
4,183,45.939,0.413986,40.1391
1,184,29.1769,0.733239,32.5284
2,184,21.2933,0.502908,26.8543
3,184,31.049,0.75341,50.8983
4,184,24.3473,0.60403,44.7274
1,185,28.5016,0.220534,13.1477
2,185,30.9933,0.245322,13.5618
3,185,34.4644,0.257072,17.1619
4,185,28.619,0.205692,16.1481
1,186,25.6812,0.322326,79.0285
2,186,43.5639,0.521461,67.6659
3,186,34.9748,0.371966,75.6067
